CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,E2up_onedose,P4up_onedose,E2up_CR,P4up_CR,HormoneSummary,AUC.Agonist,AUC.Antagonist,ERactivity,EDC,topEDCscore,Genotoxicity
2392-39-4,DTXSID3047429,Dexamethasone sodium phosphate,-,-,negative,positive,ns effect,medium,P4,0,0,inactive,EDC+,medium,-
23950-58-5,DTXSID2020420,Propyzamide,Bioassay_noMC,ToxRefDB,negative,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,-
2396-68-1,DTXSID9048196,4-tert-Butylbenzenethiol,-,-,-,-,-,-,-,0.0234,0.000346,borderline_agonism,EDC~,borderline,-
2416-94-6,DTXSID6022187,"2,3,6-Trimethylphenol",-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,positive
2433-14-9,DTXSID3040722,4-Cyclohexylcyclohexanol,-,-,negative,negative,borderline,ns effect,*E2,0.0253,0,borderline_agonism,EDC~,borderline,-
2440-22-4,DTXSID1027479,2-(2H-Benzotriazol-2-yl)-4-methylphenol,-,-,-,-,-,-,-,0.0875,0,borderline_agonism,EDC~,borderline,negative
1/4/2457,DTXSID8044888,Barium bis(2-ethylhexanoate),-,-,-,-,-,-,-,0.011,0.032,borderline_mixed,EDC~,borderline,-
24602-86-6,DTXSID3041376,Tridemorph,-,-,negative,no data,medium,ns effect,E2,0,0,inactive,EDC+,medium,-
2479-46-1,DTXSID8051914,"1,3-Phenylenedi(4-aminophenyl ether)",-,-,positive,positive,ns effect,high,P4,-,-,-,EDC+,high,positive
2481-94-9,DTXSID8041745,C.I. Solvent Yellow 56,-,-,positive,no data,low,ns effect,E2,-,-,-,EDC+,low,negative
24851-98-7,DTXSID2029325,Methyl dihydrojasmonate,-,-,positive,no data,low,ns effect,E2,0,0,inactive,EDC+,low,negative
2491-38-5,DTXSID4034576,2-Bromo-4-hydroxyacetophenone,-,-,negative,negative,-,-,negative,0.0164,0,borderline_agonism,EDC~,borderline,-
2492-26-4,DTXSID1026035,Sodium 2-mercaptobenzothiolate,-,-,negative,no data,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
6/5/2497,DTXSID8041901,Disulfoton sulfone,-,-,negative,positive,borderline,medium,"*E2, P4",-,-,-,EDC+,medium,-
25311-71-1,DTXSID8032417,Isofenphos,-,-,negative,positive,ns effect,medium,P4,-,-,-,EDC+,medium,-
253450-09-8,DTXSID2047270,Besonprodil,-,-,negative,negative,ns effect,low,P4,0,0,inactive,EDC+,low,-
6/5/2554,DTXSID3038808,"1,3,5,7-Tetramethyl-1,3,5,7-tetravinylcyclotetrasiloxane",-,-,positive,no data,borderline,ns effect,*E2,0.0268,0,borderline_agonism,EDC~,borderline,positive
26002-80-2,DTXSID7032688,Phenothrin,Bioassay_noMC,ToxRefDB,positive,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
26027-38-3,DTXSID2036588,"Glycols, polyethylene, mono(p-nonylphenyl) ether",-,-,negative,negative,ns effect,ns effect,negative,0.0406,0.0575,borderline_mixed,EDC~,borderline,negative
26172-55-4,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,Bioassay_noMC,ToxRefDB,negative,negative,ns effect,low,P4,0,0,inactive,EDC+,low,positive
262376-75-0,DTXSID9047338,HMR1426,-,-,negative,negative,borderline,borderline,"*E2, *P4",0.0176,0,borderline_agonism,EDC~,borderline,-
2642-71-9,DTXSID5037498,Azinphos-ethyl,-,-,negative,positive,medium,high,"E2, P4",-,-,-,EDC+,high,-
3/7/2680,DTXSID0051944,"N,N-Dimethylacrylamide",-,-,negative,negative,ns effect,borderline,*P4,-,-,-,EDC~,borderline,positive
2687-25-4,DTXSID4027494,"2,3-Diaminotoluene",-,-,positive,positive,borderline,medium,"*E2, P4",0,0,inactive,EDC+,medium,positive
27193-86-8,DTXSID1027926,Dodecylphenol,-,-,negative,negative,-,-,negative,0.392,0,low_agonism,EDC+,low,-
27306-78-1,DTXSID1040611,Silwet L 77,-,-,negative,positive,-,-,*P4,0.000232,0.0464,borderline_antagonism,EDC~,none,-
27314-13-2,DTXSID8024234,Norflurazon,Bioassay_noMC,ToxRefDB,positive,negative,low,ns effect,E2,0,0,inactive,EDC+,low,-
27344-41-8,DTXSID6036467,"Disodium 4,4'-bis(2-sulfostyryl)biphenyl",-,-,positive,negative,-,-,*E2,0.00215,0,inactive,EDC~,none,negative
2772-45-4,DTXSID7029241,"2,4-Bis(1-methyl-1-phenylethyl)phenol",-,-,negative,negative,-,-,negative,0.0274,0,borderline_agonism,EDC~,borderline,-
2783-94-0,DTXSID6021456,FD&C Yellow 6,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,negative
27955-94-8,DTXSID2037712,"4,4',4''-Ethane-1,1,1-triyltriphenol",-,-,negative,negative,-,-,negative,0.319,5.19e-07,low_agonism,EDC+,low,negative
28159-98-0,DTXSID3032416,Cybutryne,-,-,-,-,high,borderline,"E2, *P4",0,0,inactive,EDC+,high,-
2832-40-8,DTXSID6021450,C.I. Disperse Yellow 3,Bioassay_noMC,NTP,positive,positive,medium,medium,"E2, P4",-,-,-,EDC+,medium,positive
2835-95-2,DTXSID9024489,5-Amino-2-methylphenol,-,-,positive,positive,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,positive
28804-88-8,DTXSID7025130,Dimethylnaphthalene,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
288104-79-0,DTXSID2047357,Surinabant,-,-,negative,negative,-,-,negative,0.0866,0,borderline_agonism,EDC~,borderline,-
290352-28-2,DTXSID7047306,CP-634384,-,-,positive,positive,ns effect,medium,P4,0.00739,0,inactive,EDC+,medium,-
2919-66-6,DTXSID5048184,Melengestrol acetate,-,-,-,-,-,-,-,0.155,0,low_agonism,EDC+,low,-
2921-88-2,DTXSID4020458,Chlorpyrifos,Bioassay_noMC,ToxRefDB,positive,positive,ns effect,low,P4,0.0125,0,borderline_agonism,EDC+,low,positive
29232-93-7,DTXSID0024266,Pirimiphos-methyl,Bioassay_noMC,ToxRefDB,positive,positive,high,medium,"E2, P4",0.0176,0,borderline_agonism,EDC+,high,inconclusive
5/6/2934,DTXSID7042273,"2,4-Diisopropylphenol",-,-,positive,no data,low,ns effect,E2,0.00488,0,inactive,EDC+,low,-
29385-43-1,DTXSID0026171,Tolyltriazole,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,positive
2943-75-1,DTXSID2029246,Triethoxyoctylsilane,-,-,negative,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,negative
2971-36-0,DTXSID8022325,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",-,-,-,-,high,borderline,"E2, *P4",0.568,0.0413,medium_agonism,EDC+,high,-
298-00-0,DTXSID1020855,Methyl parathion,Bioassay_noMC,"NTP, ToxRefDB",positive,positive,low,high,"E2, P4",0,0,inactive,EDC+,high,positive
298-02-2,DTXSID4032459,Phorate,Bioassay_noMC,ToxRefDB,positive,negative,-,-,*E2,0.0181,0,borderline_agonism,EDC~,borderline,positive
298198-52-4,DTXSID2047359,SSR180711,-,-,negative,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
302-79-4,DTXSID7021239,all-trans-Retinoic acid,-,-,negative,positive,ns effect,medium,P4,0.000228,0,inactive,EDC+,medium,positive
3056-17-5,DTXSID1023819,Stavudine,-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,positive
3118-97-6,DTXSID5040706,C.I. Solvent Orange 7,-,-,positive,negative,-,-,*E2,-,-,-,EDC~,-,positive
3120-74-9,DTXSID0051996,3-Methyl-4-(methylthio)phenol,-,-,positive,negative,medium,borderline,"E2, *P4",-,-,-,EDC+,medium,negative
31218-83-4,DTXSID7032470,Propetamphos,Bioassay_noMC,ToxRefDB,positive,positive,borderline,medium,"*E2, P4",0,0,inactive,EDC+,medium,-
313994-79-5,DTXSID0047327,MK-578,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,-
314-40-9,DTXSID4022020,Bromacil,Bioassay_noMC,ToxRefDB,positive,negative,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,positive
31519-22-9,DTXSID0037730,"1,4-Dihydroxy-2-naphthoic acid",-,-,negative,positive,ns effect,high,P4,0,0.0324,borderline_antagonism,EDC+,high,-
319-85-7,DTXSID7020685,beta-Hexachlorocyclohexane,-,-,-,-,-,-,-,0.082,0,borderline_agonism,EDC~,borderline,-
32388-55-9,DTXSID4029353,Acetylcedrene,-,-,negative,no data,ns effect,ns effect,negative,0.0562,0,borderline_agonism,EDC~,borderline,negative
32809-16-8,DTXSID9033923,Procymidone,-,-,negative,negative,low,ns effect,E2,0,0,inactive,EDC+,low,-
3319-31-1,DTXSID9026265,Tris(2-ethylhexyl) trimellitate,-,-,negative,negative,-,-,negative,0.115,0,low_agonism,EDC+,low,negative
33228-44-3,DTXSID0040707,4-Pentylaniline,-,-,negative,positive,ns effect,medium,P4,0.0138,0.00901,borderline_agonism,EDC+,medium,-
333-41-5,DTXSID9020407,Diazinon,Bioassay_noMC,"NTP, ToxRefDB",positive,positive,high,medium,"E2, P4",0.0237,0,borderline_agonism,EDC+,high,positive
33629-47-9,DTXSID3032337,Butralin,-,-,positive,positive,ns effect,low,P4,0.0426,0,borderline_agonism,EDC+,low,negative
33693-04-8,DTXSID1042445,Terbumeton,-,-,positive,negative,-,-,*E2,-,-,-,EDC~,-,negative
33820-53-0,DTXSID8024157,Isopropalin,-,-,negative,negative,-,-,negative,0.0122,0.0372,borderline_mixed,EDC~,borderline,-
349495-42-7,DTXSID3047263,PharmaGSID_47263,-,-,positive,negative,high,medium,"E2, P4",0,0,inactive,EDC+,high,-
35256-85-0,DTXSID5041691,Butam,-,-,positive,no data,ns effect,ns effect,negative,0.0822,0,borderline_agonism,EDC~,borderline,-
353280-07-6,DTXSID1047281,CP-612372,-,-,negative,no data,high,borderline,"E2, *P4",0,0,inactive,EDC+,high,-
35400-43-2,DTXSID8032675,Sulprofos,-,-,positive,no data,ns effect,medium,P4,0.0115,0,borderline_agonism,EDC+,medium,-
35554-44-0,DTXSID8024151,Imazalil,Bioassay_noMC,ToxRefDB,no data,positive,ns effect,high,P4,8.32e-06,7.36e-06,inactive,EDC+,high,-
364-76-1,DTXSID5052042,4-Fluoro-3-nitroaniline,-,-,negative,positive,borderline,low,"*E2, P4",-,-,-,EDC+,low,-
36734-19-7,DTXSID3024154,"3-(3,5-Dichlorophenyl)-N-(1-methylethyl)-2,4-dioxo-1-imidazolidinecarboxamide",Bioassay_noMC,ToxRefDB,negative,no data,borderline,ns effect,*E2,0,0,inactive,EDC~,borderline,-
368832-42-2,DTXSID1047283,CP-728663,-,-,negative,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,-
39515-41-8,DTXSID0024002,Fenpropathrin,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0117,0,borderline_agonism,EDC~,borderline,negative
40487-42-1,DTXSID7024245,Pendimethalin,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0656,0.000214,borderline_agonism,EDC~,borderline,-
4065-45-6,DTXSID2042436,Sulisobenzone,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
41198-08-7,DTXSID3032464,Profenofos,Bioassay_noMC,ToxRefDB,positive,positive,high,medium,"E2, P4",0.0025,0.00658,inactive,EDC+,high,positive
41481-66-7,DTXSID9047598,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",-,-,negative,positive,ns effect,high,P4,0.0231,0.0449,borderline_mixed,EDC+,high,-
42509-80-8,DTXSID7034676,Isazofos,Bioassay_noMC,ToxRefDB,negative,positive,high,high,"E2, P4",6.95e-05,0,inactive,EDC+,high,positive
427-51-0,DTXSID5020366,Cyproterone acetate,Bioassay_noMC,ToxRefDB,negative,no data,ns effect,borderline,*P4,0.000543,0,inactive,EDC~,borderline,positive
42874-03-3,DTXSID7024241,Oxyfluorfen,Bioassay_noMC,ToxRefDB,positive,negative,high,ns effect,E2,0,0,inactive,EDC+,high,-
4291-63-8,DTXSID8022828,Cladribine,-,-,positive,no data,medium,ns effect,E2,0.0207,0,borderline_agonism,EDC+,medium,positive
42978-66-5,DTXSID7028015,Tripropylene glycol diacrylate,-,-,negative,positive,-,-,*P4,-,-,-,EDC~,-,negative
4376-20-9,DTXSID2025680,MEHP,-,-,negative,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,negative
439687-69-1,DTXSID7047358,Nelivaptan,-,-,negative,positive,ns effect,low,P4,0,0,inactive,EDC+,low,-
4449-51-8,DTXSID6043709,Cyclopamine,-,-,positive,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,-
445295-04-5,DTXSID6047282,CP-671305,-,-,positive,negative,high,borderline,"E2, *P4",0,0,inactive,EDC+,high,-
4455-26-9,DTXSID9042209,N-Methyldioctylamine,-,-,negative,negative,borderline,ns effect,*E2,0.000107,0,inactive,EDC~,borderline,-
446-86-6,DTXSID4020119,Azathioprine,-,-,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,positive
4468-42-2,DTXSID4041492,3-Phenylhexane,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,-
451-40-1,DTXSID6044430,"1,2-Diphenylethanone",-,-,positive,no data,ns effect,ns effect,negative,0.0227,0,borderline_agonism,EDC~,borderline,-
452-58-4,DTXSID0051493,"2,3-Diaminopyridine",-,-,negative,positive,ns effect,borderline,*P4,-,-,-,EDC~,borderline,-
460081-99-6,DTXSID9048510,PharmaGSID_48510,-,-,positive,negative,low,medium,"E2, P4",-,-,-,EDC+,medium,-
4602-84-0,DTXSID3032389,Farnesol,-,-,negative,no data,ns effect,ns effect,negative,0.0162,0,borderline_agonism,EDC~,borderline,negative
4672-49-5,DTXSID40196931,Ethylene dimethanesulfonate,-,-,-,-,borderline,ns effect,*E2,-,-,-,EDC~,borderline,-
4707-47-5,DTXSID9041653,Methyl 3-methylorsellinate,-,-,positive,positive,low,borderline,"E2, *P4",0.00793,0,inactive,EDC+,low,positive
4712-55-4,DTXSID7041889,Diphenyl phosphite,-,-,positive,negative,-,-,*E2,0.142,0,low_agonism,EDC+,low,negative
474-86-2,DTXSID7047433,Equilin,-,-,_NA,_NA,_NA,_NA,_NA,0.822,0,high_agonism,EDC+,high,negative
477706-73-3,DTXSID5047374,SSR161421,-,-,positive,positive,low,high,"E2, P4",5.98e-06,3.94e-05,inactive,EDC+,high,-
480-40-0,DTXSID1022396,Chrysin,-,-,negative,no data,ns effect,high,P4,0.134,0,low_agonism,EDC+,high,-
486-66-8,DTXSID9022310,"7,4'-Dihydroxyisoflavone",-,-,negative,no data,medium,borderline,"E2, *P4",0.44,0,medium_agonism,EDC+,medium,positive
487-06-9,DTXSID1041421,"5,7-Dimethoxy-2H-chromen-2-one",-,-,positive,no data,low,ns effect,E2,0,0,inactive,EDC+,low,-
4904-61-4,DTXSID8027581,"1,5,9-Cyclododecatriene",-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,negative
491-80-5,DTXSID1022394,Biochanin A,-,-,negative,no data,ns effect,borderline,*P4,0.356,0,low_agonism,EDC+,low,positive
11/8/4940,DTXSID5041516,2-Ethyl-3-hydroxy-4-pyrone,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,positive
496-46-8,DTXSID6031380,Glycoluril,-,-,negative,no data,-,-,negative,0.0207,0.0618,borderline_mixed,EDC~,borderline,negative
496-72-0,DTXSID9024930,"3,4-Diaminotoluene",-,-,positive,positive,medium,medium,"E2, P4",5.41e-05,0,inactive,EDC+,medium,positive
497-39-2,DTXSID1041502,"3-Methyl-4,6-di-tert-butylphenol",-,-,negative,negative,borderline,ns effect,*E2,-,-,-,EDC~,borderline,-
499-75-2,DTXSID6042074,Isopropyl-o-cresol,-,-,positive,negative,borderline,borderline,"*E2, *P4",0,0,inactive,EDC~,borderline,positive
50-29-3,DTXSID4020375,DDT,Bioassay_noMC,"NTP, ToxValDB, ToxRefDB",negative,no data,-,-,negative,0.19,0,low_agonism,EDC+,low,positive
50-33-9,DTXSID9021136,"4-Butyl-1,2-diphenyl-3,5-Pyrazolidinedione",Bioassay_noMC,"NTP, ToxRefDB",negative,positive,ns effect,low,P4,-,-,-,EDC+,low,positive
50-78-2,DTXSID5020108,Aspirin,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
500-38-9,DTXSID5022437,Nordihydroguaiaretic acid,-,-,negative,positive,ns effect,medium,P4,0.0998,0.0158,borderline_mixed,EDC+,medium,positive
501027-49-2,DTXSID2047307,PD-0333941,-,-,negative,no data,high,ns effect,E2,0,0,inactive,EDC+,high,-
504-63-2,DTXSID8041246,"1,3-Propanediol",-,-,negative,positive,borderline,ns effect,*E2,-,-,-,EDC~,borderline,positive
50594-66-6,DTXSID0020022,Acifluorfen,-,-,negative,negative,high,low,"E2, P4",0,0,inactive,EDC+,high,-
51-03-6,DTXSID1021166,Piperonyl butoxide,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,low,ns effect,E2,0.00231,0,inactive,EDC+,low,positive
51-24-1,DTXSID2045232,Tiratricol,-,-,negative,positive,-,-,*P4,0.179,3.24e-07,low_agonism,EDC+,low,-
51-52-5,DTXSID5021209,6-Propyl-2-thiouracil,Bioassay_noMC,ToxValDB,negative,negative,-,-,negative,0.144,0,low_agonism,EDC+,low,negative
51338-27-3,DTXSID0032605,(+-)-Diclofop-methyl,Bioassay_noMC,ToxRefDB,negative,positive,-,-,*P4,0,0,inactive,EDC~,none,-
5153-25-3,DTXSID4022525,2-Ethylhexyl p-hydroxybenzoate,-,-,negative,negative,-,-,negative,0.37,0.000486,low_agonism,EDC+,low,-
51632-16-7,DTXSID6028022,1-(Bromomethyl)-3-phenoxybenzene,-,-,positive,no data,medium,ns effect,E2,0.0607,0,borderline_agonism,EDC+,medium,-
52-01-7,DTXSID6034186,Spironolactone,-,-,negative,positive,ns effect,medium,P4,0.000278,6.82e-06,inactive,EDC+,medium,-
52-68-6,DTXSID0021389,Trichlorfon,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0405,0.00361,borderline_agonism,EDC~,borderline,positive
520-18-3,DTXSID7020768,Kaempferol,-,-,-,-,-,-,-,0.252,0,low_agonism,EDC+,low,positive
520-36-5,DTXSID6022391,Apigenin,-,-,positive,negative,ns effect,low,P4,0.307,0,low_agonism,EDC+,low,positive
521-18-6,DTXSID9022364,5alpha-Dihydrotestosterone,-,-,_NA,_NA,_NA,_NA,_NA,0.4,0,medium_agonism,EDC+,medium,-
52315-07-8,DTXSID1023998,Cypermethrin,Bioassay_noMC,ToxRefDB,positive,negative,ns effect,ns effect,negative,0.0138,0,borderline_agonism,EDC~,borderline,positive
5234-68-4,DTXSID0023951,Carboxin,Bioassay_noMC,ToxRefDB,positive,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,negative
525-79-1,DTXSID9035175,Kinetin,-,-,-,-,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,-
525-82-6,DTXSID2022048,Flavone,-,-,-,-,-,-,-,0.0423,0,borderline_agonism,EDC~,borderline,-
52645-53-1,DTXSID8022292,Permethrin,Bioassay_noMC,ToxRefDB,negative,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,positive
53-03-2,DTXSID4021185,Prednisone,-,-,negative,negative,ns effect,ns effect,negative,0.0991,0,borderline_agonism,EDC~,borderline,positive
53-19-0,DTXSID9020372,"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",-,-,negative,negative,-,-,negative,0.236,0,low_agonism,EDC+,low,positive
53-43-0,DTXSID4020379,Dehydroepiandrosterone,-,-,_NA,_NA,_NA,_NA,_NA,0.365,3.01e-07,low_agonism,EDC+,low,negative
5315-79-7,DTXSID1038298,1-Hydroxypyrene,-,-,negative,negative,ns effect,borderline,*P4,0.00941,0,inactive,EDC~,borderline,-
532-02-5,DTXSID4041442,Sodium 2-naphthalenesulfonate,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,negative
5349-51-9,DTXSID9040716,4-(2-Methylbutan-2-yl)cyclohexanol,-,-,negative,negative,-,-,negative,0.248,0,low_agonism,EDC+,low,-
53894-23-8,DTXSID5028033,Triisononyl trimellitate,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,negative
53939-28-9,DTXSID1032303,(Z)-11-Hexadecenal,-,-,-,-,-,-,-,0.0879,0,borderline_agonism,EDC~,borderline,-
54-11-5,DTXSID1020930,Nicotine,-,-,negative,negative,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
540-38-5,DTXSID4052186,4-Iodophenol,-,-,positive,negative,medium,low,"E2, P4",-,-,-,EDC+,medium,-
54593-83-8,DTXSID2032344,Chlorethoxyfos,Bioassay_noMC,ToxRefDB,negative,negative,-,-,negative,0.0203,0,borderline_agonism,EDC~,borderline,-
548-62-9,DTXSID5020653,Gentian Violet,-,-,negative,positive,-,-,*P4,0,0.000394,inactive,EDC~,none,positive
55-38-9,DTXSID8020620,Fenthion,Bioassay_noMC,"NTP, ToxRefDB",negative,positive,high,low,"E2, P4",0.00263,0,inactive,EDC+,high,positive
55219-65-3,DTXSID0032493,Triadimenol,Bioassay_noMC,ToxRefDB,negative,negative,ns effect,ns effect,negative,0.0188,0,borderline_agonism,EDC~,borderline,-
55285-14-8,DTXSID5023950,Carbosulfan,-,-,negative,negative,-,-,negative,0.0115,0,borderline_agonism,EDC~,borderline,-
55290-64-7,DTXSID0024052,Dimethipin,-,-,negative,positive,ns effect,medium,P4,0,0,inactive,EDC+,medium,-
553-26-4,DTXSID2027200,"4,4'-Bipyridine",-,-,positive,positive,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
55512-33-9,DTXSID2032639,Pyridate,-,-,positive,no data,-,-,*E2,0,0,inactive,EDC~,none,-
5598-13-0,DTXSID6032352,Chlorpyrifos-methyl,Bioassay_noMC,ToxRefDB,positive,negative,medium,borderline,"E2, *P4",6.35e-05,0,inactive,EDC+,medium,negative
56-55-3,DTXSID5023902,Benz(a)anthracene,-,-,positive,negative,high,low,"E2, P4",0.0372,0,borderline_agonism,EDC+,high,positive
56-72-4,DTXSID2020347,Coumaphos,Bioassay_noMC,"NTP, ToxRefDB",positive,positive,high,high,"E2, P4",0,0,inactive,EDC+,high,positive
563-04-2,DTXSID4026216,Tri-m-tolyl phosphate,-,-,positive,no data,-,-,*E2,-,-,-,EDC~,-,negative
563-12-2,DTXSID2024086,Ethion,Bioassay_noMC,ToxRefDB,positive,positive,medium,high,"E2, P4",0.0974,0,borderline_agonism,EDC+,high,positive
57-11-4,DTXSID8021642,Octadecanoic acid,-,-,negative,negative,-,-,negative,0.248,0,low_agonism,EDC+,low,negative
57-74-9,DTXSID7020267,Chlordane,Bioassay_noMC,"NTP, ToxRefDB",negative,negative,-,-,negative,0.0191,0,borderline_agonism,EDC~,borderline,positive
57-85-2,DTXSID9036515,Testosterone propionate,-,-,_NA,_NA,_NA,_NA,_NA,0.392,0,low_agonism,EDC+,low,-
57-91-0,DTXSID8022377,17alpha-Estradiol,-,-,_NA,_NA,_NA,_NA,_NA,1.06,0,high_agonism,EDC+,high,-
57837-19-1,DTXSID6024175,Metalaxyl,Bioassay_noMC,ToxRefDB,negative,positive,ns effect,borderline,*P4,0,0,inactive,EDC~,borderline,positive
58-18-4,DTXSID1033664,17-Methyltestosterone,Bioassay_noMC,ToxRefDB,_NA,_NA,_NA,_NA,_NA,0.495,0,medium_agonism,EDC+,medium,-
58-55-9,DTXSID5021336,Theophylline,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
58-72-0,DTXSID3022320,Triphenylethylene,-,-,-,-,-,-,-,0.383,0,low_agonism,EDC+,low,-
58-93-5,DTXSID2020713,Hydrochlorothiazide,Bioassay_noMC,"NTP, ToxRefDB",positive,negative,-,-,*E2,0,0,inactive,EDC~,none,positive
580-51-8,DTXSID2022462,3-Phenylphenol,-,-,positive,positive,high,medium,"E2, P4",-,-,-,EDC+,high,-
583-78-8,DTXSID7025003,"2,5-Dichlorophenol",-,-,-,-,ns effect,low,P4,0,0,inactive,EDC+,low,negative
585-34-2,DTXSID9044825,3-tert-Butylphenol,-,-,-,-,ns effect,low,P4,0.0248,0,borderline_agonism,EDC+,low,-
587-85-9,DTXSID3042130,Diphenylmercury(II),-,-,positive,negative,ns effect,medium,P4,0,0,inactive,EDC+,medium,-
5888-33-5,DTXSID5052250,Isobornyl acrylate,-,-,negative,positive,-,-,*P4,-,-,-,EDC~,-,negative
59-30-3,DTXSID0022519,Folic acid,-,-,positive,negative,-,-,*E2,0,0,inactive,EDC~,none,negative
59-50-7,DTXSID4021717,4-Chloro-3-methylphenol,Bioassay_noMC,ToxRefDB,positive,negative,borderline,low,"*E2, P4",0.0285,1.91e-07,borderline_agonism,EDC+,low,positive
59756-60-4,DTXSID8024107,1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone,Bioassay_noMC,ToxRefDB,-,-,low,ns effect,E2,0,0,inactive,EDC+,low,-
599-64-4,DTXSID3022536,4-Cumylphenol,-,-,negative,negative,-,-,negative,0.376,6.62e-08,low_agonism,EDC+,low,negative
60-09-3,DTXSID6024460,C.I. Solvent Yellow 1,-,-,negative,positive,medium,borderline,"E2, *P4",0.0658,0,borderline_agonism,EDC+,medium,positive
60168-88-9,DTXSID2032390,Fenarimol,Bioassay_noMC,ToxRefDB,negative,negative,ns effect,ns effect,negative,0.105,0.000907,low_agonism,EDC+,low,positive
602-01-7,DTXSID4027236,"2,3-Dinitrotoluene",-,-,positive,positive,ns effect,high,P4,6.13e-05,0,inactive,EDC+,high,positive
603-35-0,DTXSID5026251,Triphenylphosphine,-,-,-,-,-,-,-,0.0652,0.00198,borderline_agonism,EDC~,borderline,negative
603-36-1,DTXSID4052269,Triphenylstibine,-,-,negative,positive,ns effect,high,P4,-,-,-,EDC+,high,positive
605-45-8,DTXSID2040731,Diisopropyl phthalate,-,-,negative,no data,borderline,ns effect,*E2,0.00932,0,inactive,EDC~,borderline,-
6055-19-2,DTXSID6024888,Cyclophosphamide monohydrate,-,-,negative,negative,-,-,negative,0.135,0,low_agonism,EDC+,low,positive
606-20-2,DTXSID5020528,"2,6-Dinitrotoluene",-,-,negative,negative,medium,ns effect,E2,0,0,inactive,EDC+,medium,positive
608-73-1,DTXSID7020687,"1,2,3,4,5,6-Hexachlorocyclohexane",-,-,negative,no data,borderline,borderline,"*E2, *P4",-,-,-,EDC~,borderline,-
6088-51-3,DTXSID7025429,6-Hydroxy-2-naphthyl disulfide,-,-,-,-,-,-,-,0.25,0,low_agonism,EDC+,low,negative
61-73-4,DTXSID0023296,Methylene blue,-,-,negative,positive,ns effect,high,P4,0.00154,0.0591,borderline_antagonism,EDC+,high,positive
610-39-9,DTXSID8027240,"3,4-Dinitrotoluene",-,-,negative,positive,ns effect,medium,P4,-,-,-,EDC+,medium,positive
611-20-1,DTXSID3041661,2-Hydroxybenzonitrile,-,-,-,-,borderline,low,"*E2, P4",0,0,inactive,EDC+,low,negative
612-83-9,DTXSID1020433,"3,3'-Dichlorobenzidine dihydrochloride",-,-,positive,no data,medium,ns effect,E2,-,-,-,EDC+,medium,positive
615-13-4,DTXSID7052288,"1,3-Dihydro-2H-inden-2-one",-,-,negative,positive,-,-,*P4,-,-,-,EDC~,-,-
6152-33-6,DTXSID1040794,Sodium 2-phenylphenate tetrahydrate,-,-,positive,negative,medium,medium,"E2, P4",0,0,inactive,EDC+,medium,-
